title,popular_rank,orign_country,summary,rating
Tiramisu,"5,191",Netherlands,"Bookkeeper Jacob newest client is the talented and flamboyant actress Anne. They first meet each other on her houseboat, the morning after the premiere of Anne's new theatrical play. Jacob soon discovers that Anne has made a mess of her personal finances and that she has several debts. She may even have to sell her houseboat. Anne gets into a blind panic as she definitely has no intention to sell the boat where she has so many memories. Jacob becomes fascinated about Anne's world and is not concerned anymore with his own personal life and wife. Anne is trying to get money and is convinced that Jacob can save her financial mess. Despite Anne's plans and efforts, the boat must be sold by auction. During the evening of the auction, Anne has organized a big good-bye dinner and has invited all her colleagues and friend on the boat. When Jacob is about to inform Anne about how he wants to save Anne's houseboat (he has bought it himself for her), she comes up with a totally different plan.. —Motel Films",6.6
Happy Jail,"5,192",-,"The Philippine jail known for a viral Michael Jackson dance video comes under the management of an ex-convict, sparking controversy and criticism.",7.0
Hoodrats 2: Hoodrat Warriors,"5,193",United States,"Beautiful girls kicking ass, Smashing skulls and fighting Gang members in Los Angeles. One battle after another till confronting the King of the streets.",4.1
Bogdan Boner: Egzorcysta,"5,194",Poland,"No demon is safe as Bogdan Boner, the alcohol-loving, self-taught exorcist-for-hire, returns with more inventive, obscene and deadly deeds.",7.3
CT Fletcher: My Magnificent Obsession,"5,195",United States,"C.T. Fletcher shows you his story, and what he's all about.",7.6
Satria Heroes: Revenge of the Darkness,"5,196",Indonesia,"One year has passed since Satria Garuda Bima-X defeated VUDO and the earth is in peace again. Ray and Rena are rebuilding the Parallel World again. However, new evil forces attack and old enemies rise again to devastate the earth.",4.0
Magic for Humans by Mago Pop,"5,197",Spain,"In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",6.2
Buddi,"5,198",United Kingdom,-,7.0
The Remix: Hip Hop X Fashion,"5,200",United States,"The story of how hip hop changed fashion, leading to the stratospheric and global rise of street wear. It is a journey of African American creativity and the limitless possibilities of a cultural movement on a global scale.",7.2
21 Days Under the Sky,"5,201",United States,"4 bikers pull an ""Easy rider"". How it used to be or at least how it was for me.",6.7
Student Driver,"5,202",-,-,
Betoben baireoseu,"5,203",South Korea,"Kang Gun Woo is a world renowned orchestra maestro who is a perfectionist in his work. He is not an easy person to work with and is feared by all his players. By chance, he comes across Du Ru Mi, a violinist, and a young cop who has the same name as his and discovers that even without formal training, the young Kang is a music genius. The three soon get tangled in a love triangle. —D-Wiki",7.6
Pemburu di Manchester Biru,"5,204",Indonesia,"This movie tells the story of Hanif Thamrin (Adipati Dolken) leaving his hometown and trying to pursue his dream to become the only Indonesian at that time who works in the biggest soccer league in the world, English Premier League.",5.9
Mike Epps: Only One Mike,"5,205",United States,"A 2019 stand-up comedy special by comedian Mike Epps, where he tackles sexual misconduct, special education, aging body parts and more.",4.8
Felipe Esparza: Bad Decisions,"5,206",United States,"Stand-up comedian, actor and ""Last Comic Standing"" winner Felipe Esparza digs deeper into his past in his first Netflix Original comedy special.",5.0
Los Inocentes,"5,207",Argentina,"In 19th century Argentina, when a man returns to his family's plantation after 15 years, it revives a violent past, slave abuses and evil spirits.",5.2
On est ensemble,"5,208",France,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,4.6
Bottersnikes & Gumbles,"5,209",United States,"In a far away forgotten valley, heaped with long abandoned junk, a timeless battle rages between good and evil - and also between squashy and scaly, happy and grumpy, clever and wily, handsome and plain old ugly. This is the land of Bottersnikes and Gumbles.",5.2
A Love to Last,"5,210",Philippines,"The story follows two different people, Andeng (Bea Alonzo), and Anton (Ian Veneracion), that will prove that two brokenhearts can make their love last or not.",8.7
Battle of the Hearts,"5,211",-,-,
Salam - The First ****** Nobel Laureate,"5,212",United States,"""Salam"" is a feature length documentary about the Nobel prize winning Pakistani physicist, Abdus Salam. The film reveals the extraordinary life of the charismatic Abdus Salam, in all its color, vitality and tragedy. It is the story of a man who traversed two worlds with ease: one of science and religion, modernity and tradition, war and peace and obscurity and celebrity. When he won the Nobel prize in 1979, he became the very first Pakistani to achieve this distinction, and only the fourth from the subcontinent. Born in 1926 in a remote village in Punjab, British India, Salam was a child prodigy. He came from humble beginnings, growing up in a small brick house with a large family of eleven. While Salam's legacy looms large in the world of physics, he is largely forgotten in Pakistan because of his faith. Children do not read about him and he is still vilified and maligned by right wing clerics for being a ""Qadiani""-a derogatory term for someone belonging to the Ahmadiyya community. By telling this complex story of a man who due to extremism could not strengthen his people as he so deeply desired, the film draws attention to the state of affairs in the world today, where knowledge is sacrificed at the altar of ignorance and intolerance, depriving the coming generation of all that is precious.",7.9
Hannibal Buress: Comedy Camisado,"5,213",United States,A night of stand-up with comedian Hannibal Buress.,6.6
YG Future Strategy Office,"5,214",South Korea,"Sitcom taking place inside the newly formed Future Strategy Office, where trouble-making employees are sent.",7.1
Chimamire sukeban chênsô,"5,215",Japan,"Giko Nokomura is a care-free middle school girl. She struggles to kill mutant zombies who were her classmates at first, but luckily she has a chainsaw and knows how to use it. At first, she just wanted to end the school year successfully, but things do not turn out that way. It is time to confront the baddies. The school grounds are a battle zone. —aghaemi",4.5
