Title,Director,Cast
Eshtebak,Mohamed Diab,"Nilli Karim, Hany Adel, Muhammad El-Sebai, Muhammad Al Swasy, Ahmad Abdulhamid Hifni, Mahmood Fares, Walid Abdulghani, Attef Ammar, Tarek Abdel Aziz, Husni Sheta, Ahmad Dash, Ahmed Malek, Mohamed Abdel Azim, Gamil Barsoom, Khaled Kamal, Muhammad Tareq, Muhammad Gamal Qalbaz, Ashraf Hamdi"
Hak se wui: Yi woo wai kwai,Johnnie To,"Louis Koo, Simon Yam, Nick Cheung, Ka-Tung Lam, Suet Lam, Eddie Cheung, Tian-Lin Wang, Mark Ho-nam Cheng, Bing-Man Tam, Yue-Tong Pan, Andy On, Yong You, Mo-Hau Cheung, Bun Yuen, Shing Lun Mok, Jonathan Yat-Sing Lee, Sze Yan Wong, Alan Chung San Chui"
3,Aishwarya Dhanush,"Dhanush, Shruti Haasan, Prabhu, Bhanupriya, Rohini, Sivakarthikeyan, Sunder Ramu, Badava Gopi, Baby Gabriella, Gabriella Charlton, Sunita Gogoi, Anuradha Krishnamurthy, Manoj Kumar, Jeeva Ravi, Sumathi Sree"
Talaye sorkh,Jafar Panahi,"Hossain Emadeddin, Kamyar Sheisi, Azita Rayeji, Shahram Vaziri, Ehsan Amani, Pourang Nakhael, Kaveh Najmabadi, Saber Safael, Yadollah Samadian, Ramin Rastad, Behnaz Houri, Mehran Rajabi, Yousef Panahi, Kova Tilavpur"
Aankhen,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal, Paresh Rawal, Aditya Pancholi, Bipasha Basu, Kashmira Shah, Ajit Vachani, Arun Bali, Dayashankar Pandey, Paresh Ganatra, Depesh Shah, Malvika Singh, Ashok Banthia, Pradeep Tawte, Amit Singh Thakur, Prakash Bharadwaj"
Kler,Wojciech Smarzowski,"Arkadiusz Jakubik, Robert Wieckiewicz, Jacek Braciak, Joanna Kulig, Janusz Gajos, Adrian Zaremba, Magdalena Celówna-Janikowska, Ignacy Klim, Michal Gadomski, Katarzyna Chlebny, Iwona Bielska, Bartosz Trybon, Kamil Panas, Robert Wabich, Sebastian Perdek, Oleh Kyryliv, Roman Skorovskiy, Richard Pitrimov"
Jalsa,Trivikram Srinivas,"Pawan Kalyan, Ileana D'Cruz, Mukesh Rishi, Kamalinee Mukherjee, Prakash Raj, Tanikella Bharani, Brahmanandam, Sunil, Mohammad Ali, Parvati Melton, Dharmavarapu Subramanyam, Sivaji, Uttej, Mahesh Babu, Ravi Varma, Bianca Desai, Makrand Deshpande, Srinivas Govind"
V luchakh solntsa,Vitaliy Manskiy,"Lee Zin-Mi, Yu-Yong, Hye-Yong, Oh-Gyong, Choi Song-min, Lim Soo-Yong, Su-Yong"
"Boku wa asu, kinou no kimi to dêto suru",Takahiro Miki,"Sôta Fukushi, Nana Komatsu, Masahiro Higashide, Yuki Yamada, Kaya Kiyohara, Akira Ôtaka, Yoshiko Miyazaki"
The Rifleman of the Voroshilov Regiment,Stanislav Govorukhin,"Mikhail Ulyanov, Anna Sinyakina, Aleksandr Porokhovshchikov, Irina Rozanova, Marat Basharov, Aleksey Makarov, Ilya Drevnov, Vladislav Galkin, Vladimir Semago, Vyacheslav Golodnov, Georgiy Martirosyan, Sergey Aprelskiy, D. Astakhov, Andrey Bestuzhev, V. Dvoinikov, Valeriy Fedotov, Sergey Garmash, Aleksei Goltsov"
In film nist,"Mojtaba Mirtahmasb, Jafar Panahi","Jafar Panahi, Igi, Mrs. Gheirat, Mojtaba Mirtahmasb, Rakhsan, Sima, Micky, Hasan"
Oktyabr,"Grigoriy Aleksandrov, Sergei Eisenstein","Boris Livanov, Nikolay Popov, Vasili Nikandrov, Layaschenko, Vladimir Antonov-Ovseenko, Chibisov, Mikholyev, Nikolai Podvoisky, Smelsky, Eduard Tisse"
Wo de shaonu shidai,Yu Shan Chen,"Vivian Sung, Talu Wang, Dino Lee, Dewi Chien, Berry Wen-i Kuo, Yi-Chen Tsai, Alina Cheng, Ian Chen, He-Hsuan Lin, Li-Tung Chang, Kristy Cha Ray Chu, Hsin-Ling Chung, Chieh-Hui Hsu, Wei-hsun Na, Chung-Heng Chu, Shiau-Shiang Lee, Andy Lau, Joe Chen"
Limonata,Ali Atay,"Ertan Saban, Serkan Keskin, Funda Eryigit, Luran Ahmeti, Bedija Begovska, Ciguli, Zekir Sipahi, Selahattin Bilal, Deniz Abdula, Deniz Ali, Osman Ali, Yigit Arsu, Salaetin Bilal, Radojka Dimevska, Fevzi Gökçek, Mustafa Jashcirovski, Mehmet Kiliç, Tahsin Lale"
Shena-ye Parvaneh,Mohammad Kart,"Javad Ezati, Tannaz Tabatabaei, Amir Aghaee, Pantea Bahram, Ali Shadman, Nahid Moslemi, Mehdi Hosseininia, Iman Safa, Mahlagha Bagheri, Nader Shahsavari, Alireza Davoudnejad, Behrouz Panahandeh, Aban Askari, Roohollah Mehrabi, Niloufar Shahfari, Mohammad Motahari Pour, Mehrdad Khani, Ladan Zhaveh Vand"
Particle Fever,Mark Levinson,"David Kaplan, Fabiola Gianotti, Sherwood Boehlert, Joel Hefley, Savas Dimopoulos, Nima Arkani-Hamed, Monica Dunford, Martin Aleksa, Lyn Evans, Mike Lamont, Peter Jenni, Riccardo Barbieri, Peter Higgs, Rolf-Dieter Heuer, Asmina Arvanitaki, Brooke Baldwin, Ashleigh Banfield, James Beacham"
Neredesin Firuze,Ezel Akay,"Haluk Bilginer, Özcan Deniz, Demet Akbag, Cem Özer, Sebnem Dönmez, Ruhi Sari, Ragip Savas, Ugur Uludag, Janset, Güner Özkul, Ahu Türkpençe, Riza Sönmez, Kemal Gökhan Gürses, Zeynep Eronat, Murat Akkoyunlu, Ata Demirer, Erol Büyükburç, Bora Ayanoglu"
Atanarjuat,Zacharias Kunuk,"Natar Ungalaaq, Sylvia Ivalu, Peter-Henry Arnatsiaq, Lucy Tulugarjuk, Madeline Ivalu, Pauloosie Qulitalik, Eugene Ipkarnak, Pakak Innuksuk, Neeve Irngaut, Abraham Ulayuruluk, Apayata Kotierk, Mary Qulitalik, Luke Taqqaugaq, Alex Uttak, Eric Nutarariaq, Stephen Qrunnut, Pipily Akkitirq, Mary Angutautuk"
Janis: Little Girl Blue,Amy Berg,"Cat Power, Janis Joplin, Karleen Bennett, Laura Joplin, Michael Joplin, J. Dave Moriaty, Jack Smith, Powell St. John, Jae Whitaker, Travis Rivers, Dave Getz, Sam Andrew, David Dalton, Bob Weir, Otis Redding, Peter Albin, Clive Davis, Julius Karpen"
Himalaya - l'enfance d'un chef,"Eric Valli, Michel Debats","Thilen Lhondup, Gurgon Kyap, Lhakpa Tsamchoe, Karma Wangel, Karma Tensing, Labrang Tundup, Jampa Kalsang Tamang, Tsering Dorjee, Rapke Gurung, Pemba Bika, Karma Chhewang, Tenzen Charka, Yangzom, Gyalsen Gurung, Phuti Bika, Sangmo Gurung, Karma Angbu Gurung"
Qayamat Se Qayamat Tak,Mansoor Khan,"Aamir Khan, Juhi Chawla, Goga Kapoor, Dalip Tahil, Ravindra Kapoor, Asha Sharma, Alok Nath, Raj Zutshi, Shehnaz Kudia, Charushila, Beena Banerjee, Reema Lagoo, Nandita Thakur, Ahmed Khan, Feroz Khan, Ajit Vachani, Yunus Parvez, Viju Khote"
Behzat Ç.: An Ankara Policeman,Serdar Akar,"Erdal Besikçioglu, Sanem Çelik, Nejat Isler, Fatih Artman, Inanç Konukçu, Berkan Sal, Seda Bakan, Eray Eserol, Serenay Sarikaya, Asli Tandogan, Sadi Celil Cengiz, Riza Kocaoglu, Tugrul Tulek, Aliye Esra Salebci, Ayça Eren, Selahattin Bel, ibrahim Sevinc, Ekim Magden"
Çogunluk,Seren Yüce,"Bartu Küçükçaglayan, Settar Tanriögen, Nihal G. Koldas, Esme Madra, Erkan Can, Ilhan Hacifazlioglu, Cem Zeynel Kiliç, Feridun Koç, Mehmet Ünal, Guzide Balci, Okan Avci"
Jhund,Nagraj Manjule,"Amitabh Bachchan, Ankush Gedam, Babu Kshatriya, Jerico Robert, Rajiya Kazi, Kartik Uikey, Sayli Patil, Allen Patrick, Jaspreet Singh Randhawa, Saurabh Abhaynkar, Angel Anthony, Yogesh Uikey, Vishakha Uikey, Niraj Jamgade, Sachin Meshram, Saurabh Sharma, Nikhil Ganvir, Chriag Sharma"
Howze Naghashi,Maziar Miri,"Seyed Mahmoud Chaharsoughi, Siamak Ehsaii, Sepahrad Farzami, Shahab Hosseini, Negar Javaherian, Elham Korda, Efat Rasolinezhad, Fereshteh Sadre Orafaiy, Hojjat Hassanpour Sargaroui, Asghar Shariati"
À nous la liberté,René Clair,"Raymond Cordy, Henri Marchand, Rolla France, Paul Ollivier, Jacques Shelly, André Michaud, Germaine Aussey, Léon Lorin, William Burke, Vincent Hyspa, Albert Broquin, Robert Charlet, Léon Courtois, Alexander D'Arcy, Marguerite de Morlaye, Ritou Lancyle, Maximilienne, Eugène Stuber"
James,Chethan Kumar,"Puneeth Rajkumar, Priya Anand, Meka Srikanth, Anu Prabhakar, R. Sarathkumar, Madhusudhan Rao, Mukesh Rishi, Adithya Menon, Rangayana Raghu, Avinash, Sadhu Kokila, Thilak Shekar, Chikkanna, Suchendra Prasad, Padmaja Rao, Ketan Karande, John Kokken, Raghavendra Rajkumar"
Legenda No. 17,Nikolay Lebedev,"Danila Kozlovskiy, Oleg Menshikov, Svetlana Ivanova, Vladimir Menshov, Aleksandr Lobanov, Sergey Genkin, Roman Madyanov, Aleksandr Yakovlev, Alejandra Grepi, Boris Shcherbakov, Darya Ekamasova, Javier Alcina, Daniel Olbrychski, Valentin Smirnitskiy, Nina Usatova, Yuriy Berkun, Artyom Fedotov, Timur Efremenkov"
Alf Mabrook,Ahmad Nader Galal,"Ahmed Helmy, Laila Ezz El Arab, Mahmood El-Fishawi, Muhammad Farrag, Sarah Abdulrahman, Rahmah Hasan, Amir Salah, Hani El-Sabbagh, Musa Abbas, Ahmad Abdulmunem, Midhat Abu-Saif, Aminah Ali, Mohamed Almanadely, Hamad Almutaani, Ahmad Asaker, Hossam El Din, Omar Fouad El Mohandes, Wael El-Awni"
Dirty Wars,Rick Rowley,"Jeremy Scahill, Nasser Al Aulaqi, Saleha Al Aulaqi, Muqbal Al Kazemi, Abdul Rahman Barman, Saleh Bin Fareed, Andrew Exum, Abdul Ghafoor, Philip Giraldi, Matthew Hoh, Patrick Lang, John McCain, William McRaven, Emile Nakhleh, Malcolm Nance, Barack Obama, Mohamed Qanyare, Mohammed Sabir"
TPB AFK: The Pirate Bay Away from Keyboard,Simon Klose,"Gottfrid Svartholm, Peter Sunde, Fredrik Neij, Peter Althin, Anna, Fanny, Carl Lundström, Jonas Nilsson, Tomas Norström, Henrik Pontén, Rasmus, André Rickardsson, Håkan Roswall, Ola Salomonsson, Per E. Samuelsson, Per Sundin, Tobias, Monique Wadsted"
Project Nim,James Marsh,"Nim Chimpsky, Stephanie LaFarge, Herbert Terrace, Wer LaFarge, Jenny Lee, Laura-Ann Petitto, Bill Tynan, Joyce Butler, Renne Falitz, Bob Ingersoll, Alyce Moore, James Mahoney, Henry Herrmann, Cleveland Amory, Marion Probst, Chris Byrne, Bern Cohen, Reagan Leonard"
The Story of the Weeping Camel,"Byambasuren Davaa, Luigi Falorni","Janchiv Ayurzana, Chimed Ohin, Amgaabazar Gonson, Zeveljamz Nyam, Ikhbayar Amgaabazar, Odgerel Ayusch, Enkhbulgan Ikhbayar, Uuganbaatar Ikhbayar, Guntbaatar Ikhbayar, Munkhbayar Lhagvaa, Ariunjargal Adiya, Dogo Roljav, Chuluunzezeg Gur, Botok, Ingen Tenne"
They'll Love Me When I'm Dead,Morgan Neville,"Alan Cumming, Peter Bogdanovich, Oja Kodar, Orson Welles, Steve Ecclesine, R. Michael Stringer, Peter Jason, Larry Jackson, Neil Canton, Joseph McBride, Simon Callow, George Stevens Jr., Michael Ferris, Jonathon Braun, Henry Jaglom, Richard Waltzer, Glenn Jacobson, Cybill Shepherd"
Historias mínimas,Carlos Sorin,"Javier Lombardo, Antonio Benedicti, Javiera Bravo, Mariela Díaz, Enrique Otranto, María Rosa Cianferoni, María del Carmen Jiménez, Julia Solomonoff, César García Magín, Armando Grimaldi, Mario Splanguño, Rosa Valsecchi, Aníbal Maldonado, Carlos Montero, Laura Vagnoni, Silvia Fontelles, Pedro Andrada, Francis Sandoval"
Darwin's Nightmare,Hubert Sauper,"Elizabeth 'Eliza' Maganga Nsese, Raphael Tukiko Wagara, Dimond Remtulia, Marcus Nyoni, Sergey Samarets, Jonathan Nathanael, Msafiri 'Safiri' Habat, Dima Rogonov, Vladimir Tarasenko, Jura Biriuchev, Stanislav Ivanchenko, Jakob Maiseli, Lalit Malhotra, Shadard Mkono, Cleopa Kaijage, Cees Goudswaard, Richard Mgamba, Naomie John"
Sachein,John Mahendran,"Joseph Vijay, Genelia Deshmukh, Bipasha Basu, Vadivelu, Raghuvaran, Santhanam, Bonda Mani, Thaadi Balaji, Mayilsamy, Chaams, Resmi, Linda Arsenio, Mohan Sharma, Thalaivasal Vijay"
Dookudu,Sreenu Vaitla,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj, Kota Srinivasa Rao, Sayaji Shinde, Brahmanandam, Nassar, Tanikella Bharani, Rajeev Kanakala, Chandramohan, Bharat Kumar, M.S. Narayana, Pragathi, Vennela Rama Rao, Surekha Vani, Satya Krishnan, Supreet"
"Wer früher stirbt, ist länger tot",Marcus H. Rosenmüller,"Markus Krojer, Fritz Karl, Jürgen Tonkel, Jule Ronstedt, Saskia Vester, Franz Xaver Brückner, Johann Schuler, Sepp Schauer, Heinz-Josef Braun, Tim Seyfi, Pia Lautenbacher, Klaus Steinbacher, Johanna Bittenbinder, Monika Manz, Alexander Liegl, Stefanie von Poser, Arnd Schimkat, Konstantin Wecker"
Treto poluvreme,Darko Mitrevski,"Katarina Ivanovska, Sasko Kocev, Richard Sammel, Rade Serbedzija, Emil Ruben, Mitko Apostolovski, Verica Nedeska, Igor Angelov, Toni Mihajlovski, Gorast Cvetkovski, Oliver Mitkovski, Ivica Dimitrijevic, Aksel Mehmet, Dimitrija Doksevski, Milan Tocinovski, Igor Stojcevski, Ilija Stefanovski, Bedija Begovska"
The Sabarmati Report,Dheeraj Sarna,"Vikrant Massey, Raashi Khanna, Ridhi Dogra, Rohit Ameriya, Aryan Ardent, Al Arjun, Prince Kashyap, Sandeep Kumar, Anjali Nadig, Nazneen Patni, Tushar Phulke, Digvijay Purohit, Prince Ali Siddiqui, Hella Stichlmair, Sundip Ved"
Juror #2,Clint Eastwood,"Nicholas Hoult, Toni Collette, J.K. Simmons, Kiefer Sutherland, Zoey Deutch, Megan Mieduch, Melanie Harrison, Adrienne C. Moore, Drew Scheid, Leslie Bibb, Hedy Nasser, Phil Biedron, Cedric Yarbrough, Bria Brimmer, Chris Messina, Amy Aquino, Gabriel Basso, Chikako Fukuyama"
Alita: Battle Angel,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez, Marko Zaror, Rick Yune, Hugo Perez"
No Time to Die,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux, Lashana Lynch, Ralph Fiennes, Ben Whishaw, Naomie Harris, Rory Kinnear, Jeffrey Wright, Billy Magnussen, Christoph Waltz, David Dencik, Dali Benssalah, Lisa-Dorah Sonnet, Coline Defaud, Mathilde Bourbin, Hugh Dennis"
The Karate Kid,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison, Chad McQueen, Tony O'Dell, Israel Juarbe, William Bassett, Larry B. Scott, Juli Fields, Dana Andersen, Frank Burt Avalon, Jeff Fishman, Ken Daly"
Troy,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis, Jacob Smith, John Shrapnel, Brendan Gleeson, Diane Kruger, Siri Svegler, Lucie Barat, Ken Bones, Manuel Cauchi, Mark Lewis Jones, Garrett Hedlund, Sean Bean"
Triangle of Sadness,Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos, Vicki Berlin, Dolly De Leon, Timoleon Gketsos, Alicia Eriksson, Woody Harrelson, Zlatko Buric, Sunnyi Melles, Hanna Oldenburg, Carolina Gynning, Iris Berben, Amanda Walker, Oliver Ford Davies, Ralph Schicha, Henrik Dorsin"
The Last Duel,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer, Harriet Walter, Ben Affleck, Alex Lawther, Marton Csokas, William Houston, Oliver Cotton, Aurélien Lorgnier, Nathaniel Parker, Tallulah Haddon, Bryony Hannah, Thomas Silberstein, Adam Goodwin, Ian Pirie, Daniel Horn, Michael McElhatton"
Kingdom of Heaven,Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney, Jouko Ahola, David Thewlis, Philip Glenister, Bronson Webb, Kevin McKidd, Nikolaj Coster-Waldau, Steven Robertson, Marton Csokas, Alexander Siddig, Velibor Topic, Michael Shaeffer"
The Jungle Book,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Brighton Rose Favreau, Emjay Anthony, Max Favreau, Chloe Hechter, Asher Blinkoff, Knox Gagnon, Sasha Schreiber, Kai Schreiber, Jon Favreau"
It,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis, Jeremy Ray Taylor, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Nicholas Hamilton, Jake Sim, Logan Thompson, Owen Teague, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes, Geoffrey Pounsett, Pip Dwyer, Molly Atkinson"
Bullet Train,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji, Hiroyuki Sanada, Michael Shannon, Sandra Bullock, Bad Bunny, Logan Lerman, Zazie Beetz, Masi Oka, Karen Fukuhara, Kevin Akiyoshi Ching, Minchi Murakami, Kaori Taketani, Toshitaka Katsumi, Jim Garrity"
Tenet,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi, Andrew Howard, Rich Ceraulo Ko, Jonathan Camp, Wes Chatham, Sander Rebane, Martin Donovan, Clémence Poésy, Josh Stewart, Dimple Kapadia, Denzil Smith, Jeremy Theobald, Michael Caine"
X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor, Shawn Roberts, Donna Goodhand, John Nelles"
Vettaiyan,T.J. Gnanavel,"Amitabh Bachchan, Rajinikanth, Fahadh Faasil, Ritika Singh, Manju Warrier, Rana Daggubati, Dushara Vijayan, Abhirami, Rohini, Rao Ramesh, Vasanthi, Kishore Kumar G., Krish Hassan, Ananth Nag, Asal Kolaar, Sabumon Abdusamad, Ramesh Thilak, Alencier Ley Lopez"
Hereditary,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff, Christy Summerhays, Morgan Lund, Mallory Bechtel, Jake Brown, Harrison Nell, BriAnn Rachele, Heidi Méndez, Moises L. Tovar, Jarrod Phillips, Ann Dowd, Brock McKinney, Zachary Arthur, David Stanley, William 'Bus' Riley"
Cars,"John Lasseter, Joe Ranft","Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy, Cheech Marin, Tony Shalhoub, Guido Quaroni, Jenifer Lewis, Paul Dooley, Michael Wallis, George Carlin, Katherine Helmond, John Ratzenberger, Joe Ranft, Michael Keaton, Richard Petty, Jeremy Piven, Bob Costas"
10 Things I Hate About You,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston, Cameron Fraser, Eric Riedmann, Quinn Maixner"
Paddington,Paul King,"Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Tim Downie, Madeleine Worrall, Lottie Steer, Geoffrey Palmer, Theresa Watson, Imelda Staunton, Michael Gambon, Ben Whishaw, Madeleine Harris, Samuel Joslin, Michael Bond, Matt Lucas, Jude Wright, Kayvan Novak"
Doctor Sleep,Mike Flanagan,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Zahn McClarnon, Emily Alyn Lind, Selena Anduze, Robert Longstreet, Carel Struycken, Katie Parker, Jamie Flanagan, Met Clark, Zackary Momoh, Jocelin Donahue, Dakota Hickman, Carl Lumbly, Henry Thomas, Bruce Greenwood"
The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy, Josh Lucas, John Leguizamo, Michael Peña, Bob Gunton, Frances Fisher, Bryan Cranston, Trace Adkins, Laurence Mason, Margarita Levieva, Pell James, Shea Whigham, Kate Moennig, Michael Paré, Michaela Conlin"
Hoodlum,Joseph H. Lewis,"Cornel Wilde, Richard Conte, Jean Wallace, Brian Donlevy, Robert Middleton, Lee Van Cleef, Earl Holliman, Helen Walker, Jay Adler, John Hoyt, Ted de Corsia, Helene Stanton, Roy Gordon, Whit Bissell, Steve Mitchell, Baynes Barron, James McCallion, Tony Michaels"
Starship Troopers,Paul Verhoeven,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey, Neil Patrick Harris, Clancy Brown, Seth Gilliam, Patrick Muldoon, Michael Ironside, Rue McClanahan, Marshall Bell, Eric Bruskotter, Matt Levin, Blake Lindsley, Anthony Ruivivar, Brenda Strong, Dean Norris, Christopher Curry"
Irréversible,Gaspar Noé,"Monica Bellucci, Vincent Cassel, Albert Dupontel, Philippe Nahon, Jo Prestia, Stéphane Drouot, Jean-Louis Costes, Mick Gondouin, Mourad Khima, Layde Hellal, Dominique Nato, Michel Fesche, Victoria Jaramillo, Jean-Yves Le Quellec, Isabelle Giami, Fatima Adoum, Janice Foulaux, Stéphane Derdérian"
Dogma,Kevin Smith,"Ben Affleck, Matt Damon, Linda Fiorentino, Bud Cort, Barret Hackney, Jared Pfennigwerth, Kitao Sakurai, George Carlin, Brian O'Halloran, Betty Aberlin, Dan Etheridge, Derek Milosavljevic, Lesley Braden, Marie Elena O'Brien, Janeane Garofalo, Bryan Johnson, Walter Flanagan, Jason Lee"
13 Hours,Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman, Dominic Fumusa, Max Martini, Alexia Barlier, David Costabile, Payman Maadi, Matt Letscher, Toby Stephens, Demetrius Grosse, David Giuntoli, Kevin Kent, David Furr, Mike Moriarty, Freddie Stroma, Kenny Sheard"
Sleepy Hollow,Tim Burton,"Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon, Casper Van Dien, Jeffrey Jones, Richard Griffiths, Ian McDiarmid, Michael Gough, Christopher Walken, Marc Pickering, Lisa Marie, Steven Waddington, Claire Skinner, Christopher Lee, Alun Armstrong, Mark Spalding, Jessica Oyelowo"
Point Break,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty, John C. McGinley, James Le Gros, John Philbin, Bojesse Christopher, Julian Reyes, Daniel Beer, Chris Pedersen, Vincent Klyn, Anthony Kiedis, Dave Olson, Lee Tergesen, Sydney Walsh, Christopher Pettiet, Dino Andino"
Sing 2,"Garth Jennings, Christophe Lourdelet","Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly, Taron Egerton, Nick Kroll, Garth Jennings, Jennifer Saunders, Chelsea Peretti, Bobby Cannavale, Nick Offerman, Adam Buxton, Eric André, Halsey, Letitia Wright, Bono, Pharrell Williams, Julia Davis"
Monster,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen, Annie Corley, Pruitt Taylor Vince, Marco St. John, Marc Macaulay, Scott Wilson, Rus Blackwell, Tim Ware, Stephan Jones, Brett Rice, Kaitlin Riley, Cree Ivey, Catherine Mangan, Magdalena Manville, T. Robert Pigott"
Split,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula, Betty Buckley, Izzie Coffey, Brad William Henke, Sebastian Arcelus, Neal Huff, Ukee Washington, Ann Wood, Robert Michael Kelly, M. Night Shyamalan, Rosemary Howard, Jerome Gallman, Lyne Renée, Kate Jacoby, Peter Patrikios"
Gremlins,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, John Louie, Keye Luke, Don Steele, Susan Burgess, Scott Brady, Arnie Moore, Corey Feldman, Harry Carey Jr., Dick Miller, Polly Holliday, Donald Elson, Belinda Balaski, Danny Llewelyn, Edward Andrews, Judge Reinhold"
Take Shelter,Jeff Nichols,"Michael Shannon, Jessica Chastain, Shea Whigham, Tova Stewart, Katy Mixon Greer, Natasha Randall, Ron Kennard, Scott Knisley, Robert Longstreet, Heather Caldwell, Sheila Hullihen, John Kloock, Marianna Alacchi, Jacque Jovic, Bob Maines, Charles Moore, Pete Ferry, Molly McGinnis"
